filename,pages
144JC3.pdf,263
1496.pdf,153
56DVN2.pdf,221
Alcala_1637.pdf,274
Amsterdam_1616.pdf,258
Amsterdam_1618.pdf,266
Amsterdam_1626.pdf,248
Amsterdam_1634.pdf,1
Amsterdam_1660a.pdf,524
Amsterdam_1662.pdf,258
Amsterdam_1672.pdf,60
Amsterdam_1683.pdf,429
Amsterdam_1695.pdf,719
Amsterdam_1700.pdf,441
Ansbach_1610.pdf,202
Antwerp_1645.pdf,653
Antwerp_1654.pdf,254
Antwerp_1665.pdf,409
Arnhem_1603.pdf,113
Arnhem_1605.pdf,89
Arnhem_1605a.pdf,227
Arnhem_1620.pdf,121
Augsburg_1555.pdf,256
Bamberg_1677.pdf,962
Basel_1533.pdf,278
Basel_1537.pdf,601
Basel_1546.pdf,599
Basel_1550.pdf,339
Basel_1558.pdf,605
Basel_1562.pdf,413
Berlin_1824.pdf,525
Bologna_1620.pdf,517
Bologna_1629.pdf,249
Bologna_1629a.pdf,117
Bologna_1651.pdf,242
Bologna_1663.pdf,373
Bologna_1684.pdf,333
Brussels_1688.pdf,388
Brussels_1689.pdf,502
Cambridge_1655.pdf,405
Cambridge_1665.pdf,230
Cologne_1556.pdf,39
Cologne_1564.pdf,489
Cologne_1580.pdf,237
Cologne_1587.pdf,261
Cologne_1591.pdf,801
Cologne_1600.pdf,243
Cologne_1602.pdf,637
Cologne_1607.pdf,1067
Cologne_1612.pdf,241
Cologne_1627.pdf,249
Douai_1620.pdf,255
Douai_1625.pdf,241
Douai_1633.pdf,257
Edinburgh_1795.pdf,430
Ferrara_1587.pdf,266
Ferrara_1628.pdf,249
Florence_1573.pdf,270
Florence_1674.pdf,173
Frankfurt_1607.pdf,809
Frankfurt_1607_vol2.pdf,824
Frankfurt_1654.pdf,701
Geneva_1610.pdf,347
Geneva_1628.pdf,412
Glasgow_1756.pdf,431
Graz_1636.pdf,284
HZ5UVJ.pdf,274
Hamburg_1633.pdf,686
Hamburg_1638.pdf,348
Ingolstadt_1617.pdf,303
Innsbruck_1634.pdf,237
Jena_1628.pdf,180
Kiel_and_Leipzig_1699.pdf,426
Leiden_1606.pdf,183
Leiden_1615.pdf,282
Leiden_1617.pdf,201
Leiden_1691.pdf,509
Leiden_and_Amsterdam_1673.pdf,303
Leipzig_1549.pdf,146
Leipzig_1577.pdf,287
Leipzig_1883.pdf,824
Leipzig_1883_vol2.pdf,469
Leipzig_1883_vol3.pdf,437
Leipzig_1883_vol4.pdf,445
Leipzig_1883_vol5.pdf,859
Leipzig_1883_vol6.pdf,413
Leipzig_1883_vol7.pdf,431
Lisbon_1735.pdf,404
Livorno_1709.pdf,433
London_1570.pdf,494
London_1620.pdf,267
London_1651.pdf,194
London_1660.pdf,179
London_1661.pdf,337
London_1678a.pdf,245
London_1680–81.pdf,722
London_1685a.pdf,221
London_1687.pdf,213
London_1696.pdf,193
London_1747.pdf,200
London_1789.pdf,297
Lyon_1557.pdf,203
Lyon_1603.pdf,91
Lyon_1645.pdf,1206
Lyon_1669.pdf,545
Lyon_1672.pdf,449
Lyon_1674.pdf,813
Lyon_1674_vol2.pdf,805
Lyon_1675.pdf,395
Lyon_1690.pdf,739
Lyon_1690_vol2.pdf,729
Lyon_1690_vol3.pdf,797
Lyon_1690_vol4.pdf,793
Madrid_1665.pdf,467
Milan_1671.pdf,212
Nuremberg_1539.pdf,146
Nuremberg_1625.pdf,101
Nuremberg_1821.pdf,75
Oxford_1701.pdf,245
Oxford_1703.pdf,719
Oxford_1705.pdf,306
P3JCQH.pdf,113
Paris_1500.pdf,78
Paris_1516.pdf,527
Paris_1532.pdf,441
Paris_1536.pdf,202
Paris_1544.pdf,169
Paris_1549.pdf,114
Paris_1551.pdf,233
Paris_1551a.pdf,349
Paris_1557.pdf,375
Paris_1558.pdf,363
Paris_1558a.pdf,95
Paris_1564.pdf,390
Paris_1565.pdf,130
Paris_1566.pdf,441
Paris_1566a.pdf,78
Paris_1573.pdf,359
Paris_1578.pdf,605
Paris_1598.pdf,365
Paris_1598a.pdf,110
Paris_1605.pdf,176
Paris_1610.pdf,330
Paris_1612.pdf,180
Paris_1613.pdf,344
Paris_1615.pdf,651
Paris_1621.pdf,858
Paris_1622.pdf,1080
Paris_1624.pdf,472
Paris_1626.pdf,540
Paris_1629.pdf,242
Paris_1631.pdf,1242
Paris_1632.pdf,707
Paris_1632a.pdf,1212
Paris_1634.pdf,1086
Paris_1634_vol2.pdf,512
Paris_1634_vol3.pdf,344
