key,url,copyright
Oxford_1701,https://www.google.com/books/edition/Euclidis_Elementorum_libri_priores_sex_i/z54Oq8BSWKsC,
Paris_1654,https://www.google.com/books/edition/Euclidis_elementorum_geometricorum_libri/PyPRiwjPSlwC,
Oxford_1705,https://archive.org/details/b30452806/page/n5/mode/2up,
The_Hague_1758,https://www.google.com/books/edition/Elemens_de_geometrie/8y4SCfynpxEC,? https://webggc.oclc.org/cbs/DB=2.37/SET=2/TTL=31/SHW?FRST=35
Edinburgh_1795,https://www.google.com/books/edition/Elements_of_Geometry/9y7JI4_79RMC,"Public Domain, Google-digitized. https://babel.hathitrust.org/cgi/pt?id=mdp.39015056741443&seq=1"
Leipzig_1883,https://www.google.fr/books/edition/Euclidis_Opera_omnia_Elementa_libri_I_IV/Xl5uadxJRJcC?hl=en&gbpv=1&pg=PP11&printsec=frontcover,
Paris_1634,https://gallica.bnf.fr/ark:/12148/bpt6k618506#,Public Domain
Paris_1639,https://gallica.bnf.fr/ark:/12148/bpt6k8720488k?rk=107296,Public Domain
Paris_1644,https://gallica.bnf.fr/ark:/12148/bpt6k87205062?rk=85837,Public Domain
Nuremberg_1821,https://www.digitale-sammlungen.de/en/view/bsb10235973,https://rightsstatements.org/vocab/NoC-NC/1.0/
London_1747,https://archive.org/details/bim_eighteenth-century_elements-of-plane-geomet_simpson-thomas-frs_1747,
Lyon_1603,https://www.digitale-sammlungen.de/en/view/bsb10150629,https://rightsstatements.org/vocab/NoC-NC/1.0/
Strasbourg_1564a,https://www.google.nl/books/edition/Eukleidu_T%C5%8Dn_Pente_Kai_Deka_Stoichei%C5%8Dn/D7w7AAAAcAAJ,
Paris_1598a,https://www.google.nl/books/edition/Les_six_premiers_liures_des_elemens_d_Eu/bW9q_TRw0mcC,
Nuremberg_1625,https://www.digitale-sammlungen.de/en/view/bsb10215853,https://rightsstatements.org/vocab/NoC-NC/1.0/
Strasbourg_1564b,https://www.digitale-sammlungen.de/en/view/bsb11416455,https://rightsstatements.org/vocab/NoC-NC/1.0/
Paris_1566a,https://gallica.bnf.fr/ark:/12148/bpt6k8702020p?rk=64378;0#,Public domain
Strasbourg_1564,https://www.digitale-sammlungen.de/en/view/bsb00035129,https://rightsstatements.org/vocab/NoC-NC/1.0/
Lyon_1672,https://www.digitale-sammlungen.de/en/view/bsb10235920,https://rightsstatements.org/vocab/NoC-NC/1.0/
Leipzig_1883,https://www.digitale-sammlungen.de/en/view/bsb11829486,https://rightsstatements.org/vocab/NoC-NC/1.0/
London_1789,https://babel.hathitrust.org/cgi/pt?id=nyp.33433069105280,"Public Domain, Google-digitized"
Antwerp_1654,https://www.google.com/books/edition/Elementa_geometriae_planae_ac_solidae/HBjO5i7DpcoC,https://webggc.oclc.org/cbs/DB=2.37/SET=4/TTL=1/SHW?FRST=1
Leiden_1606,https://www.google.com/books/edition/De_ses_eerste_boucken_Euclidis_van_de_be/QZllAAAAcAAJ,https://webggc.oclc.org/cbs/DB=2.37/SET=5/TTL=1/SHW?FRST=1
Cambridge_1655,https://www.digitale-sammlungen.de/en/view/bsb10235961,https://rightsstatements.org/vocab/NoC-NC/1.0/
Seville_1576,https://www.bibliotecadigitaldeandalucia.es//catalogo/consulta/registro.cmd?id=6060,http://rightsstatements.org/vocab/InC/1.0/
Lyon_1557,https://www.digitale-sammlungen.de/en/view/bsb11199174,https://rightsstatements.org/vocab/NoC-NC/1.0/
Paris_1682a,https://gallica.bnf.fr/ark:/12148/bpt6k1042669z?rk=21459,Public Domain
Paris_1685,https://gallica.bnf.fr/ark:/12148/bpt6k87020495?rk=21459;2,Public Domain
Basel_1562,https://www.digitale-sammlungen.de/en/view/bsb10215852,https://rightsstatements.org/vocab/NoC-NC/1.0/
Rome_1574,https://babel.hathitrust.org/cgi/pt?id=ucm.5316864701,"Public Domain, Google-digitized"
Venice_1482,https://archive.org/details/OEXV231RES/page/n11/mode/2up,
Basel_1533,https://www.google.com/books/edition/Euclidis_Elementorum_libri_XV/VBVSP056oZwC,https://webggc.oclc.org/cbs/DB=2.37/SET=6/TTL=1/SHW?FRST=3
Vienna_1694,https://www.digitale-sammlungen.de/en/view/bsb10215850,https://rightsstatements.org/vocab/NoC-NC/1.0/
Rome_1680,gbooks,
London_1570,https://www.proquest.com/docview/2240886511/99842412,
Würzburg_1661,https://www.digitale-sammlungen.de/en/view/bsb10496559,https://rightsstatements.org/vocab/NoC-NC/1.0/
Venice_1505,https://www.google.com/books/edition/Euclidis_megare_n_sis_philosophi_platoni/8TEeimGzcfAC,
Oxford_1703,https://www.digitale-sammlungen.de/en/view/bsb10209645,https://rightsstatements.org/vocab/NoC-NC/1.0/
Antwerp_1645,https://www.digitale-sammlungen.de/en/view/bsb10209647,https://rightsstatements.org/vocab/NoC-NC/1.0/
Pesaro_1572,https://www.google.com/books/edition/Euclidis_elementorum_libri_XV/jEoRPuxe_pcC,
Basel_1550,https://www.digitale-sammlungen.de/en/view/bsb10140010,https://rightsstatements.org/vocab/NoC-NC/1.0/
Berlin_1824,https://archive.org/details/bub_gb_Ap4AAAAAYAAJ/page/II/mode/2up,
Glasgow_1756,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009241483,"Public Domain, Google-digitized"
Lisbon_1735,https://archive.org/details/bub_gb_Hof-Xq5rm5kC/page/n11/mode/2up,
Livorno_1709,https://www.e-rara.ch/zut/content/titleinfo/14575305,Public Domain Mark
Lyon_1669,https://www.digitale-sammlungen.de/en/view/bsb10081765,https://rightsstatements.org/vocab/NoC-NC/1.0/
Paris_1536,https://gallica.bnf.fr/ark:/12148/bpt6k8712719q#,Public domain
Paris_1564,https://www.google.com/books/edition/Les_Six_premiers_livres_des_Elements_d_E/cBkDqTx5DN4C,
Paris_1566,https://www.digitale-sammlungen.de/en/view/bsb11199175,
Paris_1615,https://www.digitale-sammlungen.de/en/view/bsb11110481,
